bbox_count,source,stratify_group,fold
30,arvalis_1,arvalis_1_2,0
42,arvalis_1,arvalis_1_2,4
12,arvalis_3,arvalis_3_0,2
21,inrae_1,inrae_1_1,2
59,ethz_1,ethz_1_3,1
70,ethz_1,ethz_1_4,0
60,ethz_1,ethz_1_4,4
55,arvalis_3,arvalis_3_3,0
44,arvalis_1,arvalis_1_2,1
48,arvalis_1,arvalis_1_3,1
63,arvalis_3,arvalis_3_4,2
46,arvalis_1,arvalis_1_3,3
33,arvalis_1,arvalis_1_2,0
30,arvalis_3,arvalis_3_2,1
26,arvalis_1,arvalis_1_1,1
57,arvalis_1,arvalis_1_3,4
22,inrae_1,inrae_1_1,0
74,ethz_1,ethz_1_4,3
89,arvalis_1,arvalis_1_5,1
20,rres_1,rres_1_1,4
54,rres_1,rres_1_3,0
19,usask_1,usask_1_1,3
31,arvalis_1,arvalis_1_2,0
35,arvalis_1,arvalis_1_2,0
23,arvalis_2,arvalis_2_1,4
37,arvalis_3,arvalis_3_2,4
14,inrae_1,inrae_1_0,3
70,ethz_1,ethz_1_4,1
21,inrae_1,inrae_1_1,1
29,arvalis_3,arvalis_3_1,4
11,arvalis_3,arvalis_3_0,3
35,arvalis_1,arvalis_1_2,0
55,arvalis_1,arvalis_1_3,1
31,arvalis_1,arvalis_1_2,2
34,arvalis_1,arvalis_1_2,1
15,usask_1,usask_1_1,4
69,arvalis_3,arvalis_3_4,2
54,ethz_1,ethz_1_3,2
18,usask_1,usask_1_1,2
84,ethz_1,ethz_1_5,0
14,arvalis_2,arvalis_2_0,0
63,arvalis_3,arvalis_3_4,4
29,inrae_1,inrae_1_1,1
79,ethz_1,ethz_1_5,3
21,arvalis_2,arvalis_2_1,4
45,arvalis_1,arvalis_1_3,1
79,ethz_1,ethz_1_5,1
5,arvalis_3,arvalis_3_0,3
17,arvalis_3,arvalis_3_1,4
41,arvalis_1,arvalis_1_2,0
51,rres_1,rres_1_3,4
31,arvalis_1,arvalis_1_2,3
31,arvalis_1,arvalis_1_2,4
51,rres_1,rres_1_3,4
62,arvalis_3,arvalis_3_4,3
69,ethz_1,ethz_1_4,4
34,arvalis_1,arvalis_1_2,0
22,arvalis_2,arvalis_2_1,1
27,arvalis_3,arvalis_3_1,1
76,ethz_1,ethz_1_5,0
44,rres_1,rres_1_2,1
34,arvalis_1,arvalis_1_2,1
52,ethz_1,ethz_1_3,4
56,arvalis_1,arvalis_1_3,0
31,rres_1,rres_1_2,1
25,arvalis_1,arvalis_1_1,0
10,arvalis_2,arvalis_2_0,1
45,rres_1,rres_1_3,4
59,rres_1,rres_1_3,3
20,arvalis_3,arvalis_3_1,4
9,arvalis_3,arvalis_3_0,4
72,ethz_1,ethz_1_4,2
29,arvalis_3,arvalis_3_1,0
38,arvalis_1,arvalis_1_2,2
65,rres_1,rres_1_4,0
10,arvalis_3,arvalis_3_0,0
72,ethz_1,ethz_1_4,4
35,arvalis_1,arvalis_1_2,1
30,usask_1,usask_1_2,1
35,arvalis_1,arvalis_1_2,2
26,arvalis_2,arvalis_2_1,1
36,arvalis_1,arvalis_1_2,2
45,rres_1,rres_1_3,0
68,arvalis_3,arvalis_3_4,0
73,ethz_1,ethz_1_4,4
33,rres_1,rres_1_2,0
49,arvalis_1,arvalis_1_3,4
21,arvalis_2,arvalis_2_1,4
36,arvalis_1,arvalis_1_2,1
44,arvalis_1,arvalis_1_2,0
51,arvalis_1,arvalis_1_3,0
59,arvalis_1,arvalis_1_3,2
45,arvalis_1,arvalis_1_3,4
53,arvalis_3,arvalis_3_3,1
75,ethz_1,ethz_1_5,4
83,ethz_1,ethz_1_5,2
7,arvalis_3,arvalis_3_0,2
23,rres_1,rres_1_1,2
31,arvalis_1,arvalis_1_2,3
101,arvalis_1,arvalis_1_6,4
76,arvalis_1,arvalis_1_5,2
68,ethz_1,ethz_1_4,0
41,arvalis_3,arvalis_3_2,4
46,usask_1,usask_1_3,1
77,ethz_1,ethz_1_5,4
52,arvalis_3,arvalis_3_3,3
64,rres_1,rres_1_4,0
16,arvalis_2,arvalis_2_1,3
56,arvalis_3,arvalis_3_3,2
56,arvalis_1,arvalis_1_3,1
60,rres_1,rres_1_4,0
46,arvalis_1,arvalis_1_3,4
64,ethz_1,ethz_1_4,0
2,arvalis_3,arvalis_3_0,4
45,arvalis_1,arvalis_1_3,4
53,arvalis_1,arvalis_1_3,2
13,arvalis_3,arvalis_3_0,1
33,arvalis_1,arvalis_1_2,2
46,arvalis_1,arvalis_1_3,0
64,arvalis_1,arvalis_1_4,4
50,arvalis_1,arvalis_1_3,1
62,ethz_1,ethz_1_4,3
49,arvalis_1,arvalis_1_3,1
53,rres_1,rres_1_3,3
48,arvalis_1,arvalis_1_3,2
41,arvalis_1,arvalis_1_2,1
78,ethz_1,ethz_1_5,2
39,arvalis_1,arvalis_1_2,1
22,usask_1,usask_1_1,4
40,usask_1,usask_1_2,3
48,rres_1,rres_1_3,3
35,arvalis_3,arvalis_3_2,0
13,inrae_1,inrae_1_0,0
21,inrae_1,inrae_1_1,2
38,arvalis_1,arvalis_1_2,0
78,ethz_1,ethz_1_5,3
65,rres_1,rres_1_4,2
61,ethz_1,ethz_1_4,3
13,inrae_1,inrae_1_0,2
20,arvalis_3,arvalis_3_1,3
39,rres_1,rres_1_2,4
70,ethz_1,ethz_1_4,0
49,arvalis_1,arvalis_1_3,0
45,arvalis_3,arvalis_3_3,4
48,arvalis_1,arvalis_1_3,1
17,inrae_1,inrae_1_1,1
17,inrae_1,inrae_1_1,4
42,arvalis_1,arvalis_1_2,1
54,rres_1,rres_1_3,0
38,rres_1,rres_1_2,1
42,arvalis_3,arvalis_3_2,2
76,ethz_1,ethz_1_5,3
32,arvalis_1,arvalis_1_2,1
28,usask_1,usask_1_1,3
23,rres_1,rres_1_1,4
47,arvalis_1,arvalis_1_3,4
35,arvalis_1,arvalis_1_2,2
38,arvalis_1,arvalis_1_2,2
77,ethz_1,ethz_1_5,4
27,rres_1,rres_1_1,0
14,arvalis_3,arvalis_3_0,3
47,arvalis_1,arvalis_1_3,2
86,ethz_1,ethz_1_5,2
52,rres_1,rres_1_3,0
60,ethz_1,ethz_1_4,0
23,inrae_1,inrae_1_1,4
24,inrae_1,inrae_1_1,3
40,arvalis_1,arvalis_1_2,2
57,rres_1,rres_1_3,4
13,arvalis_3,arvalis_3_0,4
62,ethz_1,ethz_1_4,4
17,inrae_1,inrae_1_1,4
45,arvalis_1,arvalis_1_3,0
27,inrae_1,inrae_1_1,3
82,ethz_1,ethz_1_5,3
32,arvalis_3,arvalis_3_2,2
73,ethz_1,ethz_1_4,0
64,rres_1,rres_1_4,3
61,arvalis_1,arvalis_1_4,1
12,arvalis_3,arvalis_3_0,2
48,arvalis_1,arvalis_1_3,3
85,ethz_1,ethz_1_5,3
77,ethz_1,ethz_1_5,0
60,arvalis_3,arvalis_3_4,1
26,rres_1,rres_1_1,4
68,ethz_1,ethz_1_4,4
80,ethz_1,ethz_1_5,4
25,arvalis_1,arvalis_1_1,0
53,arvalis_1,arvalis_1_3,1
34,arvalis_3,arvalis_3_2,4
53,arvalis_1,arvalis_1_3,2
61,arvalis_1,arvalis_1_4,1
65,ethz_1,ethz_1_4,0
69,ethz_1,ethz_1_4,4
37,arvalis_1,arvalis_1_2,0
16,arvalis_2,arvalis_2_1,3
35,usask_1,usask_1_2,0
71,ethz_1,ethz_1_4,3
79,arvalis_1,arvalis_1_5,3
43,arvalis_1,arvalis_1_2,3
34,arvalis_1,arvalis_1_2,3
24,usask_1,usask_1_1,0
26,inrae_1,inrae_1_1,2
44,arvalis_1,arvalis_1_2,4
32,arvalis_3,arvalis_3_2,3
68,arvalis_1,arvalis_1_4,0
65,rres_1,rres_1_4,3
70,ethz_1,ethz_1_4,2
70,ethz_1,ethz_1_4,1
33,arvalis_3,arvalis_3_2,1
56,arvalis_3,arvalis_3_3,4
31,usask_1,usask_1_2,1
39,arvalis_1,arvalis_1_2,2
61,rres_1,rres_1_4,4
27,arvalis_1,arvalis_1_1,4
55,rres_1,rres_1_3,4
26,arvalis_3,arvalis_3_1,2
62,ethz_1,ethz_1_4,2
44,arvalis_1,arvalis_1_2,2
56,ethz_1,ethz_1_3,1
38,rres_1,rres_1_2,3
25,arvalis_2,arvalis_2_1,3
33,arvalis_2,arvalis_2_2,1
26,arvalis_1,arvalis_1_1,2
56,arvalis_1,arvalis_1_3,2
25,arvalis_2,arvalis_2_1,4
28,usask_1,usask_1_1,2
16,arvalis_3,arvalis_3_1,4
65,ethz_1,ethz_1_4,0
55,arvalis_1,arvalis_1_3,1
34,rres_1,rres_1_2,1
45,arvalis_1,arvalis_1_3,0
73,ethz_1,ethz_1_4,2
47,arvalis_1,arvalis_1_3,2
13,arvalis_3,arvalis_3_0,3
80,ethz_1,ethz_1_5,0
63,ethz_1,ethz_1_4,0
51,ethz_1,ethz_1_3,3
28,inrae_1,inrae_1_1,1
61,rres_1,rres_1_4,1
33,rres_1,rres_1_2,1
92,ethz_1,ethz_1_6,3
62,arvalis_1,arvalis_1_4,1
28,arvalis_1,arvalis_1_1,1
37,arvalis_1,arvalis_1_2,1
34,arvalis_1,arvalis_1_2,4
21,usask_1,usask_1_1,0
60,ethz_1,ethz_1_4,4
31,arvalis_1,arvalis_1_2,3
30,arvalis_1,arvalis_1_2,3
57,arvalis_1,arvalis_1_3,3
58,ethz_1,ethz_1_3,0
27,usask_1,usask_1_1,0
59,rres_1,rres_1_3,2
76,ethz_1,ethz_1_5,2
57,ethz_1,ethz_1_3,4
81,ethz_1,ethz_1_5,1
14,inrae_1,inrae_1_0,4
20,arvalis_2,arvalis_2_1,4
60,ethz_1,ethz_1_4,4
46,arvalis_1,arvalis_1_3,1
53,arvalis_1,arvalis_1_3,0
25,inrae_1,inrae_1_1,4
26,arvalis_2,arvalis_2_1,3
50,arvalis_1,arvalis_1_3,2
74,arvalis_1,arvalis_1_4,0
58,ethz_1,ethz_1_3,3
57,rres_1,rres_1_3,4
48,arvalis_1,arvalis_1_3,1
37,arvalis_1,arvalis_1_2,0
85,ethz_1,ethz_1_5,1
63,ethz_1,ethz_1_4,3
62,arvalis_3,arvalis_3_4,1
47,arvalis_1,arvalis_1_3,3
37,arvalis_1,arvalis_1_2,3
28,rres_1,rres_1_1,3
46,arvalis_1,arvalis_1_3,1
78,ethz_1,ethz_1_5,0
67,arvalis_1,arvalis_1_4,0
24,arvalis_1,arvalis_1_1,4
60,ethz_1,ethz_1_4,4
28,rres_1,rres_1_1,2
65,arvalis_1,arvalis_1_4,2
49,ethz_1,ethz_1_3,3
41,arvalis_1,arvalis_1_2,2
64,arvalis_1,arvalis_1_4,1
50,rres_1,rres_1_3,0
28,arvalis_1,arvalis_1_1,4
35,arvalis_3,arvalis_3_2,1
61,ethz_1,ethz_1_4,3
18,usask_1,usask_1_1,1
25,arvalis_2,arvalis_2_1,1
51,rres_1,rres_1_3,1
54,rres_1,rres_1_3,0
22,arvalis_2,arvalis_2_1,3
5,arvalis_3,arvalis_3_0,1
58,rres_1,rres_1_3,1
19,arvalis_3,arvalis_3_1,1
85,ethz_1,ethz_1_5,4
23,inrae_1,inrae_1_1,3
19,inrae_1,inrae_1_1,0
53,rres_1,rres_1_3,2
7,inrae_1,inrae_1_0,1
1,arvalis_3,arvalis_3_0,1
72,ethz_1,ethz_1_4,2
22,arvalis_3,arvalis_3_1,1
67,arvalis_3,arvalis_3_4,0
81,ethz_1,ethz_1_5,2
19,arvalis_2,arvalis_2_1,2
19,arvalis_3,arvalis_3_1,2
68,ethz_1,ethz_1_4,2
70,ethz_1,ethz_1_4,2
45,rres_1,rres_1_3,0
27,arvalis_3,arvalis_3_1,2
59,arvalis_1,arvalis_1_3,0
50,arvalis_1,arvalis_1_3,0
38,arvalis_1,arvalis_1_2,4
45,arvalis_1,arvalis_1_3,2
36,arvalis_3,arvalis_3_2,0
83,ethz_1,ethz_1_5,4
32,arvalis_1,arvalis_1_2,0
47,rres_1,rres_1_3,3
41,arvalis_1,arvalis_1_2,3
49,arvalis_1,arvalis_1_3,2
9,arvalis_3,arvalis_3_0,4
46,arvalis_1,arvalis_1_3,1
52,arvalis_1,arvalis_1_3,2
78,ethz_1,ethz_1_5,2
48,arvalis_1,arvalis_1_3,4
13,arvalis_2,arvalis_2_0,4
41,arvalis_1,arvalis_1_2,2
67,arvalis_1,arvalis_1_4,0
22,arvalis_1,arvalis_1_1,2
74,ethz_1,ethz_1_4,1
46,arvalis_1,arvalis_1_3,2
80,ethz_1,ethz_1_5,2
16,inrae_1,inrae_1_1,3
19,inrae_1,inrae_1_1,0
23,arvalis_1,arvalis_1_1,1
54,ethz_1,ethz_1_3,2
4,arvalis_3,arvalis_3_0,0
32,arvalis_1,arvalis_1_2,1
63,rres_1,rres_1_4,1
64,ethz_1,ethz_1_4,0
39,arvalis_1,arvalis_1_2,1
26,arvalis_1,arvalis_1_1,0
79,ethz_1,ethz_1_5,1
19,arvalis_2,arvalis_2_1,2
64,ethz_1,ethz_1_4,0
79,ethz_1,ethz_1_5,0
32,rres_1,rres_1_2,1
23,inrae_1,inrae_1_1,1
27,arvalis_1,arvalis_1_1,2
40,arvalis_1,arvalis_1_2,0
55,arvalis_3,arvalis_3_3,1
46,rres_1,rres_1_3,2
12,arvalis_3,arvalis_3_0,2
84,ethz_1,ethz_1_5,1
22,arvalis_2,arvalis_2_1,2
73,rres_1,rres_1_4,4
44,rres_1,rres_1_2,0
73,ethz_1,ethz_1_4,0
76,ethz_1,ethz_1_5,3
58,arvalis_1,arvalis_1_3,1
15,arvalis_3,arvalis_3_1,2
79,ethz_1,ethz_1_5,4
26,arvalis_1,arvalis_1_1,2
55,ethz_1,ethz_1_3,0
73,ethz_1,ethz_1_4,0
47,arvalis_1,arvalis_1_3,3
38,arvalis_1,arvalis_1_2,1
22,usask_1,usask_1_1,4
53,arvalis_3,arvalis_3_3,1
34,arvalis_1,arvalis_1_2,2
31,arvalis_3,arvalis_3_2,1
70,ethz_1,ethz_1_4,3
30,arvalis_3,arvalis_3_2,3
38,rres_1,rres_1_2,2
74,ethz_1,ethz_1_4,2
19,arvalis_3,arvalis_3_1,3
68,ethz_1,ethz_1_4,0
14,arvalis_2,arvalis_2_0,1
70,ethz_1,ethz_1_4,0
29,arvalis_1,arvalis_1_1,4
27,arvalis_2,arvalis_2_1,1
3,arvalis_3,arvalis_3_0,4
53,arvalis_3,arvalis_3_3,4
44,ethz_1,ethz_1_2,3
23,usask_1,usask_1_1,2
29,usask_1,usask_1_1,4
30,inrae_1,inrae_1_2,2
45,arvalis_1,arvalis_1_3,0
15,inrae_1,inrae_1_1,0
38,arvalis_1,arvalis_1_2,2
51,ethz_1,ethz_1_3,3
64,rres_1,rres_1_4,3
53,arvalis_3,arvalis_3_3,0
29,arvalis_3,arvalis_3_1,3
76,ethz_1,ethz_1_5,0
62,ethz_1,ethz_1_4,2
38,arvalis_1,arvalis_1_2,4
44,arvalis_1,arvalis_1_2,0
70,ethz_1,ethz_1_4,0
29,arvalis_2,arvalis_2_1,1
32,rres_1,rres_1_2,1
39,arvalis_3,arvalis_3_2,1
50,arvalis_3,arvalis_3_3,0
42,arvalis_1,arvalis_1_2,2
38,arvalis_1,arvalis_1_2,3
34,arvalis_1,arvalis_1_2,3
10,inrae_1,inrae_1_0,0
49,ethz_1,ethz_1_3,4
49,arvalis_1,arvalis_1_3,4
26,arvalis_1,arvalis_1_1,3
26,arvalis_1,arvalis_1_1,2
33,arvalis_1,arvalis_1_2,1
75,ethz_1,ethz_1_5,3
41,arvalis_1,arvalis_1_2,0
57,arvalis_3,arvalis_3_3,1
23,usask_1,usask_1_1,1
41,rres_1,rres_1_2,1
75,ethz_1,ethz_1_5,0
62,rres_1,rres_1_4,2
32,arvalis_3,arvalis_3_2,1
11,arvalis_3,arvalis_3_0,3
93,ethz_1,ethz_1_6,4
34,arvalis_1,arvalis_1_2,1
24,usask_1,usask_1_1,1
25,usask_1,usask_1_1,4
11,arvalis_2,arvalis_2_0,1
34,usask_1,usask_1_2,1
32,arvalis_1,arvalis_1_2,4
51,arvalis_1,arvalis_1_3,2
52,arvalis_3,arvalis_3_3,4
31,usask_1,usask_1_2,2
71,rres_1,rres_1_4,0
60,arvalis_1,arvalis_1_4,3
50,rres_1,rres_1_3,4
47,arvalis_1,arvalis_1_3,1
33,rres_1,rres_1_2,0
43,arvalis_1,arvalis_1_2,4
85,ethz_1,ethz_1_5,1
51,arvalis_1,arvalis_1_3,1
74,ethz_1,ethz_1_4,1
50,ethz_1,ethz_1_3,2
36,arvalis_1,arvalis_1_2,0
34,arvalis_1,arvalis_1_2,4
57,arvalis_1,arvalis_1_3,0
48,arvalis_1,arvalis_1_3,0
5,arvalis_3,arvalis_3_0,0
55,arvalis_1,arvalis_1_3,1
80,ethz_1,ethz_1_5,0
39,arvalis_1,arvalis_1_2,4
67,arvalis_3,arvalis_3_4,1
39,arvalis_1,arvalis_1_2,4
52,ethz_1,ethz_1_3,4
44,arvalis_1,arvalis_1_2,1
82,ethz_1,ethz_1_5,1
27,arvalis_1,arvalis_1_1,2
34,rres_1,rres_1_2,1
42,rres_1,rres_1_2,0
50,arvalis_1,arvalis_1_3,0
26,arvalis_1,arvalis_1_1,0
63,ethz_1,ethz_1_4,4
30,arvalis_1,arvalis_1_2,0
14,inrae_1,inrae_1_0,3
33,arvalis_1,arvalis_1_2,2
63,arvalis_1,arvalis_1_4,3
22,inrae_1,inrae_1_1,2
48,arvalis_1,arvalis_1_3,2
44,rres_1,rres_1_2,3
36,arvalis_1,arvalis_1_2,4
15,inrae_1,inrae_1_1,0
23,arvalis_3,arvalis_3_1,2
52,arvalis_1,arvalis_1_3,1
94,ethz_1,ethz_1_6,1
63,ethz_1,ethz_1_4,4
18,arvalis_2,arvalis_2_1,1
16,arvalis_2,arvalis_2_1,1
47,rres_1,rres_1_3,0
75,ethz_1,ethz_1_5,4
75,ethz_1,ethz_1_5,3
24,arvalis_3,arvalis_3_1,1
74,ethz_1,ethz_1_4,1
57,rres_1,rres_1_3,0
21,arvalis_3,arvalis_3_1,3
60,arvalis_3,arvalis_3_4,3
77,rres_1,rres_1_5,1
46,usask_1,usask_1_3,4
29,arvalis_1,arvalis_1_1,2
13,usask_1,usask_1_0,0
56,arvalis_1,arvalis_1_3,4
61,arvalis_1,arvalis_1_4,1
39,rres_1,rres_1_2,3
26,arvalis_2,arvalis_2_1,0
54,rres_1,rres_1_3,2
38,arvalis_1,arvalis_1_2,1
36,arvalis_1,arvalis_1_2,3
64,ethz_1,ethz_1_4,1
77,ethz_1,ethz_1_5,1
34,arvalis_1,arvalis_1_2,4
56,arvalis_3,arvalis_3_3,4
32,arvalis_3,arvalis_3_2,0
81,ethz_1,ethz_1_5,4
70,arvalis_1,arvalis_1_4,0
35,arvalis_1,arvalis_1_2,4
37,rres_1,rres_1_2,2
29,usask_1,usask_1_1,4
31,arvalis_3,arvalis_3_2,2
48,arvalis_1,arvalis_1_3,4
22,arvalis_2,arvalis_2_1,3
57,arvalis_1,arvalis_1_3,1
25,arvalis_1,arvalis_1_1,3
20,inrae_1,inrae_1_1,2
53,arvalis_3,arvalis_3_3,1
30,arvalis_1,arvalis_1_2,4
40,arvalis_1,arvalis_1_2,0
49,arvalis_1,arvalis_1_3,2
31,arvalis_1,arvalis_1_2,3
56,ethz_1,ethz_1_3,3
46,arvalis_1,arvalis_1_3,2
27,arvalis_1,arvalis_1_1,1
20,arvalis_3,arvalis_3_1,4
70,ethz_1,ethz_1_4,4
79,ethz_1,ethz_1_5,2
73,ethz_1,ethz_1_4,1
55,arvalis_3,arvalis_3_3,2
63,ethz_1,ethz_1_4,2
46,ethz_1,ethz_1_3,2
76,ethz_1,ethz_1_5,1
18,rres_1,rres_1_1,1
116,ethz_1,ethz_1_7,3
37,arvalis_1,arvalis_1_2,0
63,rres_1,rres_1_4,3
59,rres_1,rres_1_3,2
33,arvalis_1,arvalis_1_2,3
12,usask_1,usask_1_0,3
25,arvalis_3,arvalis_3_1,2
53,arvalis_1,arvalis_1_3,4
66,ethz_1,ethz_1_4,2
61,arvalis_1,arvalis_1_4,4
18,inrae_1,inrae_1_1,2
62,ethz_1,ethz_1_4,1
69,ethz_1,ethz_1_4,4
18,usask_1,usask_1_1,3
41,rres_1,rres_1_2,3
21,arvalis_3,arvalis_3_1,1
19,rres_1,rres_1_1,3
17,arvalis_2,arvalis_2_1,2
20,arvalis_2,arvalis_2_1,0
29,arvalis_2,arvalis_2_1,3
30,inrae_1,inrae_1_2,0
19,arvalis_3,arvalis_3_1,0
85,ethz_1,ethz_1_5,1
66,arvalis_1,arvalis_1_4,3
62,ethz_1,ethz_1_4,2
16,rres_1,rres_1_1,4
21,rres_1,rres_1_1,1
45,arvalis_3,arvalis_3_3,4
67,ethz_1,ethz_1_4,0
49,ethz_1,ethz_1_3,4
18,arvalis_3,arvalis_3_1,2
33,rres_1,rres_1_2,1
27,arvalis_3,arvalis_3_1,4
26,inrae_1,inrae_1_1,2
64,ethz_1,ethz_1_4,0
43,arvalis_1,arvalis_1_2,2
9,arvalis_3,arvalis_3_0,0
11,arvalis_3,arvalis_3_0,1
16,arvalis_2,arvalis_2_1,0
52,rres_1,rres_1_3,4
23,arvalis_1,arvalis_1_1,0
30,inrae_1,inrae_1_2,1
21,arvalis_2,arvalis_2_1,2
25,arvalis_2,arvalis_2_1,2
45,arvalis_1,arvalis_1_3,0
79,ethz_1,ethz_1_5,3
75,arvalis_1,arvalis_1_5,0
59,ethz_1,ethz_1_3,4
23,arvalis_2,arvalis_2_1,2
51,arvalis_1,arvalis_1_3,3
65,rres_1,rres_1_4,2
47,arvalis_1,arvalis_1_3,3
60,ethz_1,ethz_1_4,0
43,arvalis_1,arvalis_1_2,2
27,rres_1,rres_1_1,2
35,arvalis_1,arvalis_1_2,4
73,ethz_1,ethz_1_4,4
38,arvalis_1,arvalis_1_2,4
86,ethz_1,ethz_1_5,1
56,ethz_1,ethz_1_3,4
13,arvalis_3,arvalis_3_0,1
26,arvalis_1,arvalis_1_1,1
37,rres_1,rres_1_2,4
36,arvalis_3,arvalis_3_2,4
67,rres_1,rres_1_4,0
34,arvalis_1,arvalis_1_2,3
12,arvalis_3,arvalis_3_0,2
64,rres_1,rres_1_4,2
34,arvalis_1,arvalis_1_2,3
19,arvalis_2,arvalis_2_1,3
56,arvalis_3,arvalis_3_3,1
34,arvalis_1,arvalis_1_2,0
19,arvalis_3,arvalis_3_1,1
58,rres_1,rres_1_3,0
18,usask_1,usask_1_1,3
39,usask_1,usask_1_2,2
37,arvalis_3,arvalis_3_2,1
35,arvalis_1,arvalis_1_2,3
51,arvalis_3,arvalis_3_3,0
50,arvalis_1,arvalis_1_3,2
