image_id,bbox_count,source,stratify_group,fold5
0bb1adbd8,30,arvalis_3,arvalis_3_2,0
0bb98c55d,26,arvalis_1,arvalis_1_1,0
0bbb17b82,57,arvalis_1,arvalis_1_3,1
0bbcbab79,22,inrae_1,inrae_1_1,1
0bff84dd0,74,ethz_1,ethz_1_4,1
0c06dde5b,89,arvalis_1,arvalis_1_5,0
0c264c98e,20,rres_1,rres_1_1,2
0c2d20111,54,rres_1,rres_1_3,1
0c3d9007c,19,usask_1,usask_1_1,1
0c7af1841,31,arvalis_1,arvalis_1_2,4
0ca276259,35,arvalis_1,arvalis_1_2,4
0ca410614,23,arvalis_2,arvalis_2_1,0
0cbb43d45,37,arvalis_3,arvalis_3_2,1
0cbcaf240,14,inrae_1,inrae_1_0,2
0cbe3f32c,70,ethz_1,ethz_1_4,1
0cca0ffc8,21,inrae_1,inrae_1_1,0
0ce3a22a3,29,arvalis_3,arvalis_3_1,1
0cf7ef43d,0,unknown,unknown_0,3
0d08bc31f,11,arvalis_3,arvalis_3_0,3
0d2948e6d,35,arvalis_1,arvalis_1_2,1
0d2e2b65b,55,arvalis_1,arvalis_1_3,1
0d3bd5eac,31,arvalis_1,arvalis_1_2,1
0d4128a74,34,arvalis_1,arvalis_1_2,1
0d5525a7b,15,usask_1,usask_1_1,2
0d7268752,69,arvalis_3,arvalis_3_4,3
0d82ef017,54,ethz_1,ethz_1_3,3
0da996869,18,usask_1,usask_1_1,2
0dbfcf802,84,ethz_1,ethz_1_5,1
0dc2de69d,14,arvalis_2,arvalis_2_0,1
0dc9eb168,63,arvalis_3,arvalis_3_4,0
0dd534f81,29,inrae_1,inrae_1_1,0
0df7f89c3,79,ethz_1,ethz_1_5,2
0e0809a3d,21,arvalis_2,arvalis_2_1,2
0e0a0483e,45,arvalis_1,arvalis_1_3,4
0e0e3b0b9,79,ethz_1,ethz_1_5,3
0e2be222f,5,arvalis_3,arvalis_3_0,3
0e3074735,17,arvalis_3,arvalis_3_1,3
0e7832f0b,0,unknown,unknown_0,3
0e8557b27,41,arvalis_1,arvalis_1_2,1
0e86615d0,51,rres_1,rres_1_3,3
0e90d45c6,31,arvalis_1,arvalis_1_2,1
0eab04c31,31,arvalis_1,arvalis_1_2,3
0eab1baab,51,rres_1,rres_1_3,3
0ebac9a23,62,arvalis_3,arvalis_3_4,2
0ee812df9,69,ethz_1,ethz_1_4,1
0eed0a689,34,arvalis_1,arvalis_1_2,3
0f0bb7843,22,arvalis_2,arvalis_2_1,1
0f43bb6d7,27,arvalis_3,arvalis_3_1,1
0f47f54f1,76,ethz_1,ethz_1_5,3
0f4911203,44,rres_1,rres_1_2,1
0f5267442,34,arvalis_1,arvalis_1_2,1
0f9100915,52,ethz_1,ethz_1_3,2
0f9717e87,56,arvalis_1,arvalis_1_3,4
0fb8ec104,31,rres_1,rres_1_2,2
0fcdc222b,25,arvalis_1,arvalis_1_1,1
0fd4ca0d4,10,arvalis_2,arvalis_2_0,2
0fd63ed98,45,rres_1,rres_1_3,0
0ff60b2bc,59,rres_1,rres_1_3,2
108c78542,20,arvalis_3,arvalis_3_1,3
10c2f7946,9,arvalis_3,arvalis_3_0,3
10c433ecf,72,ethz_1,ethz_1_4,4
10e1fb0e8,29,arvalis_3,arvalis_3_1,3
1104e6a0d,38,arvalis_1,arvalis_1_2,0
11182d7ae,65,rres_1,rres_1_4,4
1118ba1b9,10,arvalis_3,arvalis_3_0,0
115d07916,72,ethz_1,ethz_1_4,4
116a6fceb,35,arvalis_1,arvalis_1_2,1
1172e0f0a,30,usask_1,usask_1_2,1
119969932,35,arvalis_1,arvalis_1_2,3
11c916a8a,26,arvalis_2,arvalis_2_1,0
11f24467f,36,arvalis_1,arvalis_1_2,0
124820ed4,45,rres_1,rres_1_3,1
125118d1d,68,arvalis_3,arvalis_3_4,1
12786fe3b,73,ethz_1,ethz_1_4,0
12a15fe77,33,rres_1,rres_1_2,3
12b724773,49,arvalis_1,arvalis_1_3,1
12d014f3e,21,arvalis_2,arvalis_2_1,3
12e8267b0,36,arvalis_1,arvalis_1_2,4
12ef135a7,44,arvalis_1,arvalis_1_2,3
12f742390,51,arvalis_1,arvalis_1_3,2
12fc83edf,59,arvalis_1,arvalis_1_3,1
13050d5e4,45,arvalis_1,arvalis_1_3,0
131708dfd,53,arvalis_3,arvalis_3_3,2
132a92818,75,ethz_1,ethz_1_5,0
13354f036,83,ethz_1,ethz_1_5,2
13358081a,7,arvalis_3,arvalis_3_0,1
13395ae85,23,rres_1,rres_1_1,2
133f92be6,31,arvalis_1,arvalis_1_2,2
134d4a01c,101,arvalis_1,arvalis_1_6,3
1364f7561,76,arvalis_1,arvalis_1_5,1
136b1f936,68,ethz_1,ethz_1_4,2
13973250e,41,arvalis_3,arvalis_3_2,2
13a368f78,46,usask_1,usask_1_3,2
13b0e960a,77,ethz_1,ethz_1_5,2
13c91a4ed,52,arvalis_3,arvalis_3_3,2
13d56dca0,64,rres_1,rres_1_4,2
13f7f0e24,16,arvalis_2,arvalis_2_1,4
140ef3997,56,arvalis_3,arvalis_3_3,1
1436244cc,56,arvalis_1,arvalis_1_3,3
1443b3f7a,60,rres_1,rres_1_4,0
144d57df8,46,arvalis_1,arvalis_1_3,3
144dca605,64,ethz_1,ethz_1_4,1
14716eed5,2,arvalis_3,arvalis_3_0,1
147706d0f,45,arvalis_1,arvalis_1_3,3
147830115,53,arvalis_1,arvalis_1_3,2
14783fc8c,13,arvalis_3,arvalis_3_0,0
1478a32b8,33,arvalis_1,arvalis_1_2,1
1478a43f1,46,arvalis_1,arvalis_1_3,1
148075f03,64,arvalis_1,arvalis_1_4,4
149bbb343,50,arvalis_1,arvalis_1_3,1
14b4ef410,62,ethz_1,ethz_1_4,0
14c66436c,49,arvalis_1,arvalis_1_3,3
14d024cc4,53,rres_1,rres_1_3,0
14d2b1c3a,48,arvalis_1,arvalis_1_3,0
14d856fb1,41,arvalis_1,arvalis_1_2,2
14da8934d,78,ethz_1,ethz_1_5,1
14e9933bb,39,arvalis_1,arvalis_1_2,0
14fd84198,22,usask_1,usask_1_1,2
150cabe75,40,usask_1,usask_1_2,0
15153bb54,48,rres_1,rres_1_3,3
151d24916,35,arvalis_3,arvalis_3_2,2
151f2893a,13,inrae_1,inrae_1_0,3
1523f5ec1,21,inrae_1,inrae_1_1,1
152800a47,38,arvalis_1,arvalis_1_2,3
152d16ce7,78,ethz_1,ethz_1_5,3
15486e5af,65,rres_1,rres_1_4,1
155c440e8,0,unknown,unknown_0,1
155e8d59d,61,ethz_1,ethz_1_4,3
156282051,13,inrae_1,inrae_1_0,1
1577c6651,20,arvalis_3,arvalis_3_1,0
15babe6dd,39,rres_1,rres_1_2,2
15c025a28,70,ethz_1,ethz_1_4,3
15c21964a,49,arvalis_1,arvalis_1_3,4
15c794bfc,45,arvalis_3,arvalis_3_3,0
15cbc2623,48,arvalis_1,arvalis_1_3,3
15d56204e,17,inrae_1,inrae_1_1,2
15f3f1f01,17,inrae_1,inrae_1_1,4
15feda382,42,arvalis_1,arvalis_1_2,3
160cdf8e1,54,rres_1,rres_1_3,4
161f20a53,38,rres_1,rres_1_2,3
16501f9a1,42,arvalis_3,arvalis_3_2,2
1690036d7,76,ethz_1,ethz_1_5,4
1696dab5e,32,arvalis_1,arvalis_1_2,1
169be79d1,28,usask_1,usask_1_1,1
16a0dc111,23,rres_1,rres_1_1,3
16b77f4c7,47,arvalis_1,arvalis_1_3,3
16d26f266,35,arvalis_1,arvalis_1_2,4
16d922704,38,arvalis_1,arvalis_1_2,3
16daa81b4,77,ethz_1,ethz_1_5,0
16e075fbb,27,rres_1,rres_1_1,3
16e5c6372,14,arvalis_3,arvalis_3_0,3
1708360c3,47,arvalis_1,arvalis_1_3,2
17117532b,86,ethz_1,ethz_1_5,0
1734d7a9f,52,rres_1,rres_1_3,0
174a9e2e7,60,ethz_1,ethz_1_4,3
1762ed306,23,inrae_1,inrae_1_1,1
1772cb764,24,inrae_1,inrae_1_1,2
178d835fd,40,arvalis_1,arvalis_1_2,1
1794c0a24,57,rres_1,rres_1_3,0
17edbcd63,13,arvalis_3,arvalis_3_0,4
17f1fa29e,62,ethz_1,ethz_1_4,2
18059ff19,17,inrae_1,inrae_1_1,2
181637e7b,45,arvalis_1,arvalis_1_3,2
1856c545d,27,inrae_1,inrae_1_1,0
186c66a2c,82,ethz_1,ethz_1_5,3
18be58eb6,32,arvalis_3,arvalis_3_2,1
18cefbf07,73,ethz_1,ethz_1_4,0
18df0fea9,64,rres_1,rres_1_4,2
18e5e064b,61,arvalis_1,arvalis_1_4,4
18f8b24f1,12,arvalis_3,arvalis_3_0,0
1908103f1,48,arvalis_1,arvalis_1_3,0
1909b7c5e,85,ethz_1,ethz_1_5,0
190f2ca1d,77,ethz_1,ethz_1_5,1
1914c04d6,60,arvalis_3,arvalis_3_4,4
19255ce1d,26,rres_1,rres_1_1,0
1946be26b,68,ethz_1,ethz_1_4,1
1951b2916,80,ethz_1,ethz_1_5,4
1964e90f0,25,arvalis_1,arvalis_1_1,2
1970cbf85,53,arvalis_1,arvalis_1_3,3
198df0975,34,arvalis_3,arvalis_3_2,0
199350a76,53,arvalis_1,arvalis_1_3,3
19b035d25,61,arvalis_1,arvalis_1_4,2
19c242397,65,ethz_1,ethz_1_4,3
19cb6b0e3,69,ethz_1,ethz_1_4,0
19cf6f16c,37,arvalis_1,arvalis_1_2,1
19e5ab184,16,arvalis_2,arvalis_2_1,0
19ecc4446,35,usask_1,usask_1_2,3
19f4faf0f,71,ethz_1,ethz_1_4,4
19fd72f8b,79,arvalis_1,arvalis_1_5,1
19fdbeb90,43,arvalis_1,arvalis_1_2,3
1a106f404,34,arvalis_1,arvalis_1_2,4
1a13195b8,24,usask_1,usask_1_1,0
1a394df35,26,inrae_1,inrae_1_1,0
1a39607ca,44,arvalis_1,arvalis_1_2,4
1a62f5908,32,arvalis_3,arvalis_3_2,1
1a6f43e22,68,arvalis_1,arvalis_1_4,0
1a94773a1,65,rres_1,rres_1_4,1
1a9792bfc,0,unknown,unknown_0,1
1aa099fd7,70,ethz_1,ethz_1_4,3
1ab041b77,70,ethz_1,ethz_1_4,1
1adb61e33,33,arvalis_3,arvalis_3_2,0
1ae79fd9b,56,arvalis_3,arvalis_3_3,1
1aebf1c4c,31,usask_1,usask_1_2,0
1b10b9fa1,39,arvalis_1,arvalis_1_2,4
1b2a30a59,61,rres_1,rres_1_4,2
1b2b1fe9c,27,arvalis_1,arvalis_1_1,2
1b3376c60,55,rres_1,rres_1_3,3
1b3380c60,26,arvalis_3,arvalis_3_1,2
1b352d5fe,62,ethz_1,ethz_1_4,2
1b399c9a7,44,arvalis_1,arvalis_1_2,3
1b43ca0a6,56,ethz_1,ethz_1_3,2
1b547b682,38,rres_1,rres_1_2,1
1b5e821f9,25,arvalis_2,arvalis_2_1,0
1b99d2fd6,33,arvalis_2,arvalis_2_2,0
1bb0c013a,26,arvalis_1,arvalis_1_1,2
1bc14c658,56,arvalis_1,arvalis_1_3,0
1bcb0e91e,25,arvalis_2,arvalis_2_1,3
1bda74f14,28,usask_1,usask_1_1,1
1be796d9d,16,arvalis_3,arvalis_3_1,1
1bf4fb6e5,65,ethz_1,ethz_1_4,2
1c0155c9c,55,arvalis_1,arvalis_1_3,4
1c2c0786b,34,rres_1,rres_1_2,1
1c3032ee8,45,arvalis_1,arvalis_1_3,2
1c5f25cd1,73,ethz_1,ethz_1_4,0
1c6e42234,47,arvalis_1,arvalis_1_3,0
1c90d23fb,13,arvalis_3,arvalis_3_0,1
1cf002747,80,ethz_1,ethz_1_5,4
1d2950c50,63,ethz_1,ethz_1_4,3
1d2ab0a45,51,ethz_1,ethz_1_3,2
1d54a26d7,28,inrae_1,inrae_1_1,4
1d554c619,61,rres_1,rres_1_4,0
1d74edc1e,33,rres_1,rres_1_2,0
1d7a82a04,92,ethz_1,ethz_1_6,0
1d7d9fda3,62,arvalis_1,arvalis_1_4,0
1da65492e,28,arvalis_1,arvalis_1_1,1
1dbc99ed8,37,arvalis_1,arvalis_1_2,4
1dbd065ce,34,arvalis_1,arvalis_1_2,4
1def04f70,21,usask_1,usask_1_1,0
1e2735260,60,ethz_1,ethz_1_4,3
1e509e544,31,arvalis_1,arvalis_1_2,4
1e58125ec,30,arvalis_1,arvalis_1_2,0
1e6d99635,57,arvalis_1,arvalis_1_3,0
1e92a05ab,58,ethz_1,ethz_1_3,1
1e9ff110c,27,usask_1,usask_1_1,2
1eb2bad31,59,rres_1,rres_1_3,0
1ebc11f19,76,ethz_1,ethz_1_5,2
1ecb85340,57,ethz_1,ethz_1_3,0
1ecc491e7,81,ethz_1,ethz_1_5,3
1ee6b9669,14,inrae_1,inrae_1_0,1
1ef16dab1,20,arvalis_2,arvalis_2_1,0
1f255e0c5,60,ethz_1,ethz_1_4,0
1f2b1a759,46,arvalis_1,arvalis_1_3,3
1f3829014,53,arvalis_1,arvalis_1_3,4
1f387ec08,25,inrae_1,inrae_1_1,4
1f548e2f2,26,arvalis_2,arvalis_2_1,0
1f7600e2c,50,arvalis_1,arvalis_1_3,4
1f9a8abcd,74,arvalis_1,arvalis_1_4,2
1fab6aa6b,58,ethz_1,ethz_1_3,0
1fcc8f8d9,57,rres_1,rres_1_3,0
1fe63a46a,48,arvalis_1,arvalis_1_3,4
1ff3f11c4,37,arvalis_1,arvalis_1_2,1
200b3c316,85,ethz_1,ethz_1_5,1
20331cd3a,63,ethz_1,ethz_1_4,4
203c29f86,62,arvalis_3,arvalis_3_4,1
2041a2d49,47,arvalis_1,arvalis_1_3,3
2051f1446,37,arvalis_1,arvalis_1_2,1
20697ca8f,28,rres_1,rres_1_1,2
2072e9704,46,arvalis_1,arvalis_1_3,4
2073fe7f7,78,ethz_1,ethz_1_5,0
20a86a215,67,arvalis_1,arvalis_1_4,1
20c6725f1,24,arvalis_1,arvalis_1_1,0
20c7cc731,60,ethz_1,ethz_1_4,3
20e9f1548,28,rres_1,rres_1_1,0
20ebdfc4b,65,arvalis_1,arvalis_1_4,2
211487419,49,ethz_1,ethz_1_3,2
21504c374,41,arvalis_1,arvalis_1_2,4
216bba07e,64,arvalis_1,arvalis_1_4,0
217c8fd61,50,rres_1,rres_1_3,4
218338312,28,arvalis_1,arvalis_1_1,0
218a99bee,35,arvalis_3,arvalis_3_2,2
21a9818dd,61,ethz_1,ethz_1_4,0
220488d01,18,usask_1,usask_1_1,4
2204976da,25,arvalis_2,arvalis_2_1,4
224017b57,51,rres_1,rres_1_3,4
2277ae74f,54,rres_1,rres_1_3,1
227971e53,22,arvalis_2,arvalis_2_1,4
228f94f80,5,arvalis_3,arvalis_3_0,3
229716799,58,rres_1,rres_1_3,2
229d8a499,19,arvalis_3,arvalis_3_1,0
22c35fcbf,85,ethz_1,ethz_1_5,1
22c8f2030,23,inrae_1,inrae_1_1,1
22cb24fba,19,inrae_1,inrae_1_1,4
22dccd0b7,53,rres_1,rres_1_3,0
22eabfde5,7,inrae_1,inrae_1_0,4
22f341965,1,arvalis_3,arvalis_3_0,0
233494bf0,72,ethz_1,ethz_1_4,0
233cb8750,22,arvalis_3,arvalis_3_1,3
234cc40aa,67,arvalis_3,arvalis_3_4,1
237051cce,81,ethz_1,ethz_1_5,2
238c6cea4,19,arvalis_2,arvalis_2_1,1
2391f283f,19,arvalis_3,arvalis_3_1,4
23a4b904a,68,ethz_1,ethz_1_4,3
23a6dd55f,70,ethz_1,ethz_1_4,4
23e3b5130,45,rres_1,rres_1_3,2
23e761109,27,arvalis_3,arvalis_3_1,0
23eb6b3d5,59,arvalis_1,arvalis_1_3,4
23f9b6e0f,50,arvalis_1,arvalis_1_3,4
241bbc684,38,arvalis_1,arvalis_1_2,2
2443092e6,45,arvalis_1,arvalis_1_3,0
24646bd61,36,arvalis_3,arvalis_3_2,4
2474376a6,83,ethz_1,ethz_1_5,1
24a832fa5,32,arvalis_1,arvalis_1_2,1
24a90b0dd,47,rres_1,rres_1_3,1
24dda66d6,41,arvalis_1,arvalis_1_2,3
24fb4b33d,49,arvalis_1,arvalis_1_3,1
250233aea,9,arvalis_3,arvalis_3_0,0
250483997,46,arvalis_1,arvalis_1_3,0
251b2ed74,52,arvalis_1,arvalis_1_3,4
251ed33a8,78,ethz_1,ethz_1_5,1
257e96563,48,arvalis_1,arvalis_1_3,1
258c0d943,13,arvalis_2,arvalis_2_0,2
25b347123,41,arvalis_1,arvalis_1_2,3
25b66ccf8,67,arvalis_1,arvalis_1_4,0
25c62465e,22,arvalis_1,arvalis_1_1,0
25cd221bb,74,ethz_1,ethz_1_4,4
25d38ec2c,46,arvalis_1,arvalis_1_3,1
25fcffb8e,80,ethz_1,ethz_1_5,0
26263f228,16,inrae_1,inrae_1_1,1
2629ddf24,19,inrae_1,inrae_1_1,1
2630babc5,23,arvalis_1,arvalis_1_1,2
26373af4b,54,ethz_1,ethz_1_3,4
263daaccf,4,arvalis_3,arvalis_3_0,4
2643476a0,32,arvalis_1,arvalis_1_2,0
2661979ef,63,rres_1,rres_1_4,0
266826a59,64,ethz_1,ethz_1_4,4
2677d9124,39,arvalis_1,arvalis_1_2,3
26871fd54,26,arvalis_1,arvalis_1_1,4
2689d2bb4,79,ethz_1,ethz_1_5,1
269a5f98e,19,arvalis_2,arvalis_2_1,2
26a2693ec,64,ethz_1,ethz_1_4,3
26a991110,79,ethz_1,ethz_1_5,2
26b7c3188,32,rres_1,rres_1_2,0
26c2b1c78,23,inrae_1,inrae_1_1,0
26cfef469,27,arvalis_1,arvalis_1_1,1
26d5c0e4a,40,arvalis_1,arvalis_1_2,3
26d7e7074,55,arvalis_3,arvalis_3_3,0
26eada42f,46,rres_1,rres_1_3,1
26f09dc76,12,arvalis_3,arvalis_3_0,4
2752325a7,84,ethz_1,ethz_1_5,2
277fa7280,22,arvalis_2,arvalis_2_1,0
277fff409,73,rres_1,rres_1_4,3
278038027,44,rres_1,rres_1_2,3
279a356f8,73,ethz_1,ethz_1_4,4
27ab890c9,76,ethz_1,ethz_1_5,3
27bf608b8,58,arvalis_1,arvalis_1_3,3
27da826ad,15,arvalis_3,arvalis_3_1,0
27e4c01d7,79,ethz_1,ethz_1_5,1
27e98fa26,26,arvalis_1,arvalis_1_1,1
27f0a8188,55,ethz_1,ethz_1_3,1
2840176b4,73,ethz_1,ethz_1_4,4
284a79f05,47,arvalis_1,arvalis_1_3,3
286719f2f,38,arvalis_1,arvalis_1_2,1
286af845e,22,usask_1,usask_1_1,1
2889b72ef,53,arvalis_3,arvalis_3_3,2
28b8ba0aa,34,arvalis_1,arvalis_1_2,1
28c948177,31,arvalis_3,arvalis_3_2,1
28d5ba56a,70,ethz_1,ethz_1_4,4
28e0fc5e4,30,arvalis_3,arvalis_3_2,1
28ee29473,38,rres_1,rres_1_2,4
28f619dfe,74,ethz_1,ethz_1_4,0
290ae67be,19,arvalis_3,arvalis_3_1,3
291a9f4c4,68,ethz_1,ethz_1_4,0
291fb66d1,14,arvalis_2,arvalis_2_0,1
292dac626,70,ethz_1,ethz_1_4,0
2934e89a8,29,arvalis_1,arvalis_1_1,2
293a1fd62,27,arvalis_2,arvalis_2_1,2
294cc4475,3,arvalis_3,arvalis_3_0,1
29a85cd12,53,arvalis_3,arvalis_3_3,4
29b48c0a7,44,ethz_1,ethz_1_2,1
29dc6c59a,23,usask_1,usask_1_1,1
29e44e305,29,usask_1,usask_1_1,2
29f09fa58,30,inrae_1,inrae_1_2,2
29f8a1f30,45,arvalis_1,arvalis_1_3,0
29ffadaf3,15,inrae_1,inrae_1_1,1
2a4b71fcc,38,arvalis_1,arvalis_1_2,0
2a5be9325,51,ethz_1,ethz_1_3,1
2aa35dade,64,rres_1,rres_1_4,0
2ac5f9e85,53,arvalis_3,arvalis_3_3,1
2ad7fa68e,29,arvalis_3,arvalis_3_1,0
2adceacda,76,ethz_1,ethz_1_5,2
2ae1f9d88,62,ethz_1,ethz_1_4,4
2ae9c276f,38,arvalis_1,arvalis_1_2,0
2b1986944,44,arvalis_1,arvalis_1_2,0
2b2612efa,70,ethz_1,ethz_1_4,1
2b32a4cc4,29,arvalis_2,arvalis_2_1,1
2b3c77755,32,rres_1,rres_1_2,1
2b45c0165,39,arvalis_3,arvalis_3_2,2
